URL,Class,All Four Icons,Can Manipulate Colour,Optimised to Four Icons,Minified
http://www.localhost.com/jbuckley_me/icons/css/css.html,CSS,No,Yes,No,No
http://www.localhost.com/jbuckley_me/icons/css/css-4.html,CSS,No,Yes,Yes,No
http://www.localhost.com/jbuckley_me/icons/css/css-min.html,CSS,No,Yes,No,Yes
http://www.localhost.com/jbuckley_me/icons/css/css-4-min.html,CSS,No,Yes,Yes,Yes
http://www.localhost.com/jbuckley_me/icons/fa-font/fa-font.html,FA-Font,Yes,Yes,No,No
http://www.localhost.com/jbuckley_me/icons/fa-font/fa-font-4.html,FA-Font,Yes,Yes,Yes,No
http://www.localhost.com/jbuckley_me/icons/fa-font/fa-font-min.html,FA-Font,Yes,Yes,No,Yes
http://www.localhost.com/jbuckley_me/icons/fa-font/fa-font-4-min.html,FA-Font,Yes,Yes,Yes,Yes
http://www.localhost.com/jbuckley_me/icons/fa-svg/fa-svg.html,FA-SVG,Yes,Yes,No,No
http://www.localhost.com/jbuckley_me/icons/fa-svg/fa-svg-4.html,FA-SVG,Yes,Yes,Yes,No
http://www.localhost.com/jbuckley_me/icons/fa-svg/fa-svg-min.html,FA-SVG,Yes,Yes,No,Yes
http://www.localhost.com/jbuckley_me/icons/fa-svg/fa-svg-4-min.html,FA-SVG,Yes,Yes,Yes,Yes
http://www.localhost.com/jbuckley_me/icons/svg/svg-img.html,SVG-Img,Yes,No,Yes,N/A
http://www.localhost.com/jbuckley_me/icons/svg/svg-inline.html,SVG-Inline,Yes,Yes,Yes,N/A
http://www.localhost.com/jbuckley_me/icons/png/png-img.html,PNG,Yes,No,Yes,N/A
http://www.localhost.com/jbuckley_me/icons/base64/base64.html,Base64,Yes,No,Yes,N/A
